2019-04-16 13:29,#苏轨运营定向委托培养招生公告#,苏州轨道交通微博会员特权置顶苏轨运营定向委托培养招生公告为满足苏州轨道交通号线运营人才储备需要苏州市轨道交通运营分公司委托重庆铁路运输技师学院对电客车驾驶岗位招收苏州籍定向培训生进行为期一个学年的城轨电客车驾驶专业课程强化培训在验收考核及入职体检合格后录用为苏州轨道交通运营分公司正式员工展开全文
2019-04-17 15:26,有推婴儿车的话请联系我们从绿色通道进站
2019-04-17 14:45,#轨交提示#,轨交提示请将车辆停放在站外指定位置切勿堵塞出入口以免影响通行
2019-04-17 14:35,#文明乘车#,苏州轨道交通文明乘车公共环境靠大家请勿在车厢内脱鞋晒脚哦
2019-04-17 14:17,#精致服务#,苏州轨道交通精致服务乘客的推车轮子坏了无法正常使用还好车站工作人员及时帮助乘客解决了问题小伙伴儿们需要帮助时记得第一时间联系工作人员哦
2019-04-17 14:10,#安全提醒#,苏州轨道交通安全提醒还请站稳扶好这样可不安全哦
2019-04-17 12:13,#轨道交通的阅读之旅#,苏州轨道交通轨道交通的阅读之旅为了让更多的市民了解月日世界读书日小编听说在月日当天使用苏行出行的乘客将有机会获取精美礼品一份呢苏州轨道交通将抽取前位出站序号尾数含有的乘客你会是那个幸运儿吗记得时刻关注咱们的官方微信微博哟
2019-04-17 08:29,苏州轨道交通客流信息月日星期二线网总客运量万人次号线万人次号线万人次号线万人次号线支线万人次
2019-04-17 08:25,#轨交天气#,苏州轨道交通轨交天气今天全市多云到晴早晨前后局部地区有雾明天晴到多云东南风级今天最高气温明晨最低气温
2019-04-16 16:27,#文明乘车#,苏州轨道交通文明乘车车厢内禁止饮食还请大家配合
2019-04-16 16:23,#文明乘车#,苏州轨道交通文明乘车包包不占座请将座位留给有需要的人哦
2019-04-16 16:18,#温馨提醒#,苏州轨道交通温馨提醒总有粗心的乘客将物品遗忘在卫生间内的挂钩上小钩子虽然给大家带来了方便但是属于你的东西别忘记带走哦
2019-04-16 16:12,#苏州新闻#,安全第一
2019-04-16 10:10,#轨道交通的阅读之旅#,苏州轨道交通轨道交通的阅读之旅步行从站厅到站台的短小路程也许你走了几十秒若是当你发现这一段楼梯别有一番趣味时我相信你会放慢脚步在轨道交通的阅读之旅活动中号线三元坊站将以新的装饰面貌与你见面来到这里你会发现与过往有所不同在站厅通往站台的两侧楼梯中贴上了无数文人墨客的展开全文
2019-04-16 08:50,苏州轨道交通客流信息月日星期一线网总客运量万人次号线万人次号线万人次号线万人次号线支线万人次
